quantity,item_value,description,ocid
1020.0,,INSUMOS DE USO GENERAL,ocds-5wno2w-SIE-HEEE-186-2021.-52558
1.0,,INSUMOS DE USO GENERAL,ocds-5wno2w-SIE-HEEE-188-2021-52558
1.0,,SISTEMA PARA QUIMICA CLINICA,ocds-5wno2w-SIE-HGDC-086-2021-594674
1.0,,TRACTO ALIMENTARIO Y METABOLICO,ocds-5wno2w-SIE-HGEG-078-2021.-106745
1447.0,,INSUMOS DE USO GENERAL,ocds-5wno2w-SIE-HGOIA-007-2021-49010
30000.0,,Propofol - Líquido parenteral- 10 mg/mL,ocds-5wno2w-SIE-HIESSRI-100-2021-2561
33112.0,,SODIO CLORURO,ocds-5wno2w-SIE_HIESSRIO_78_2021-2561
1.0,,SERVICIOS DE MANTENIMIENTO Y REPARACION DE EQUIPO DE MEDICINA,ocds-5wno2w-SIE-HNFIB-102-2021-29399
1.0,,INSUMOS DE USO GENERAL,ocds-5wno2w-SIE-HPAS-091-2021-DE-29340
80.0,,"OTROS MEDICAMENTOS N.C.P. ELABORADOS EN BASE DE MEZCLAS DE DOS O MAS ELEMENTOS, PRESENTADOS EN DOSIS MEDIDAS O EN ENVASES PARA LA VENTA AL POR MAYOR O AL POR MENOR: ELEMENTOS CONSTITUYENTES CON FINES TERAPEUTICOS O PROFILACTICOS: ACEITE ALCANFORADO, ACEIT",ocds-5wno2w-SIE-HQ-FARM-019-2021-20291
13000.0,,"OTROS MEDICAMENTOS N.C.P. ELABORADOS EN BASE DE MEZCLAS DE DOS O MAS ELEMENTOS, PRESENTADOS EN DOSIS MEDIDAS O EN ENVASES PARA LA VENTA AL POR MAYOR O AL POR MENOR: ELEMENTOS CONSTITUYENTES CON FINES TERAPEUTICOS O PROFILACTICOS: ACEITE ALCANFORADO, ACEIT",ocds-5wno2w-SIE-HQ-FARM-052-2021-20291
400.0,,REACTIVOS PARA ANALISIS CELULAR,ocds-5wno2w-SIE-HTD-038-2021-48853
