id,ocid,year,month,method,internal_type,locality,region,suppliers,buyer,amount,date,title,description,budget
177759,ocds-5wno2w-CE-20200001896701-238940,2020,8,direct,Catálogo electrónico - Compra directa,CUENCA,AZUAY,ASOCIACION DE PRODUCCION   TEXTIL MODELRIVE  ASOMODELRIVE,CORPORACION ELECTRICA DEL ECUADOR CELEC EP,29924.361600,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896701,Orden de compra para adquirir los siguientes productos:  PRENDAS DE VESTIR PRENDAS DE VESTIR,29924.3616
177760,ocds-5wno2w-CE-20200001896702-238940,2020,8,direct,Catálogo electrónico - Compra directa,CUENCA,AZUAY,"ASOCIACIÓN DE PRODUCCIÓN TEXTIL PRENDAS DE CALIDAD PASCUALES ""ASOPROPECAP""",CORPORACION ELECTRICA DEL ECUADOR CELEC EP,7634.928000,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896702,Orden de compra para adquirir los siguientes productos:  PRENDAS DE VESTIR,7634.928
177761,ocds-5wno2w-CE-20200001896704-238940,2020,8,direct,Catálogo electrónico - Compra directa,CUENCA,AZUAY,BANCHON CASTRO LORENZO PATRICIO,CORPORACION ELECTRICA DEL ECUADOR CELEC EP,18588.326400,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896704,Orden de compra para adquirir los siguientes productos:  PRENDAS DE VESTIR,18588.3264
177762,ocds-5wno2w-CE-20200001896705-91040,2020,8,direct,Catálogo electrónico - Compra directa,LAGO AGRIO,SUCUMBIOS,ASOCIACIÓN DE PRODUCCIÓN TEXTIL ENCAMINANTE AL BUEN VIVIR ASOPROTEXBUVI,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,12772.200000,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896705,Orden de compra para adquirir los siguientes productos:  PRENDAS DE VESTIR Pantalón táctico para hombre PRENDAS DE VESTIR ROPA DE TRABAJO,12772.2
177763,ocds-5wno2w-CE-20200001896706-91040,2020,8,direct,Catálogo electrónico - Compra directa,LAGO AGRIO,SUCUMBIOS,"ASOCIACIÒN DE PRODUCCIÒN TEXTIL ENTRE HILOS Y PUNTADAS ""ASPROTEHILADA""",GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,1208.592000,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896706,Orden de compra para adquirir los siguientes productos:  PRENDAS DE VESTIR,1208.592
177764,ocds-5wno2w-CE-20200001896707-91040,2020,8,direct,Catálogo electrónico - Compra directa,LAGO AGRIO,SUCUMBIOS,"ASOCIACIÓN DE PRODUCCIÓN  TEXTIL LA TOQUILLA ""ASOQUILLATEX""",GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,23790.928000,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896707,"Orden de compra para adquirir los siguientes productos:  Pantalón de terno parada para hombre ROPA DE TRABAJO ROPA DE TRABAJO Chaqueta de terno parada para hombre Chaqueta de terno parada para mujer Gorra, Jockey, Keping MEDIAS DEPORTIVAS Pantalón de terno parada para mujer Corbata hombre Gorra, Jockey, Keping Gorra, Jockey, Keping PRENDAS DE VESTIR",23790.928
177765,ocds-5wno2w-CE-20200001896708-91040,2020,8,direct,Catálogo electrónico - Compra directa,LAGO AGRIO,SUCUMBIOS,ASOCIACION DE PRODUCCION TEXTIL SIRAKSUMAK COSTURA ELEGANTE ASOPROTEXMAK,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,3812.379200,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896708,Orden de compra para adquirir los siguientes productos:  MOCHILAS Y BOLSOS PRENDAS DE VESTIR PRENDAS DE VESTIR PRENDAS DE VESTIR PRENDAS DE VESTIR PRENDAS DE VESTIR,3812.3792
177766,ocds-5wno2w-CE-20200001896732-869714,2020,8,selective,Catálogo electrónico - Mejor oferta,QUITO,PICHINCHA,DEPOTTIRE S.A.,AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,681.542400,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896732,Orden de compra para adquirir los siguientes productos:  NEUMATICO 255/70R16 111S TODA POSICION APLICACION TODO TERRENO,681.5424
177767,ocds-5wno2w-CE-20200001896733-869714,2020,8,selective,Catálogo electrónico - Mejor oferta,QUITO,PICHINCHA,DEPOTTIRE S.A.,AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,268.329600,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896733,Orden de compra para adquirir los siguientes productos:  NEUMATICO 235/60R16 100T 4X4C TODA POSICION APLICACION REGIONAL,268.3296
177768,ocds-5wno2w-CE-20200001896734-869714,2020,8,selective,Catálogo electrónico - Mejor oferta,QUITO,PICHINCHA,CONTINENTAL TIRE ANDINA S.A.,AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,285.488000,2020-08-31T00:00:00-05:00,Orden de compra CE-20200001896734,Orden de compra para adquirir los siguientes productos:  NEUMATICO 235/75R15 104/101Q TODA POSICION APLICACION TODO TERRENO,285.488
